Stage,Window,N_Points,ID_Bits,Authentication_Index,Training_Indices,PC,Explained_Variance_Ratio,Cumulative_Explained_Variance
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",11,0.009152230971525744,0.8389227058743314
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",12,0.008494774119462178,0.8474174799937936
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",13,0.00763849666617815,0.8550559766599717
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",14,0.0072898432436678305,0.8623458199036396
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",15,0.0064029787688895225,0.8687487986725291
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",16,0.006350017854946387,0.8750988165274755
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",17,0.006025318342643649,0.8811241348701191
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",18,0.005566549708809182,0.8866906845789283
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",19,0.004901162974574646,0.891591847553503
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",20,0.004592326965773775,0.8961841745192768
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",21,0.004163571315431628,0.9003477458347084
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",22,0.003770544990779978,0.9041182908254884
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",23,0.0034177159316594262,0.9075360067571479
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",24,0.003265142687483414,0.9108011494446313
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",25,0.003146737785483826,0.9139478872301151
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",26,0.002864032652867913,0.916811919882983
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",27,0.0028169529764161265,0.9196288728593992
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",28,0.0026236899311145147,0.9222525627905137
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",29,0.002553471797641161,0.9248060345881549
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",30,0.002456910498437835,0.9272629450865928
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",31,0.0023677365128926195,0.9296306815994854
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",32,0.0020938957985642804,0.9317245773980496
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",33,0.0020334237132496828,0.9337580011112993
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",34,0.0020147703814180967,0.9357727714927173
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",35,0.0018833888488366793,0.937656160341554
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",36,0.0017553796685699512,0.939411540010124
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",37,0.001710400006080961,0.9411219400162049
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",38,0.0016217394287210605,0.9427436794449259
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",39,0.0015446326500843162,0.9442883120950102
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",40,0.0015209327728660448,0.9458092448678762
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",41,0.0014257987606337969,0.94723504362851
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",42,0.001359556377237166,0.9485946000057471
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",43,0.0013445633288670976,0.9499391633346143
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",44,0.0012967169398466303,0.9512358802744609
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",45,0.001271663822516752,0.9525075440969777
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",46,0.0012299076499459878,0.9537374517469237
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",47,0.0011397990316531711,0.9548772507785769
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",48,0.0010995816975892065,0.955976832476166
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",49,0.0010539711473564316,0.9570308036235224
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",50,0.001005164453630295,0.9580359680771527
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",51,0.001001413331702641,0.9590373814088554
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",52,0.0009612783912035612,0.9599986598000589
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",53,0.0009484522422951461,0.9609471120423541
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",54,0.000918563246543894,0.961865675288898
